GDP Per Capita,Life Expentancy,Population,Continent
974.5803384,43.828,31.889923,red
5937.029526,76.423,3.600523,green
6223.367465,72.301,33.333216,blue
4797.231267,42.731,12.420476,blue
12779.37964,75.32,40.301927,yellow
34435.36744,81.235,20.434176,black
36126.4927,79.829,8.199783,green
29796.04834,75.635,0.708573,red
1391.253792,64.062,150.448339,red
33692.60508,79.441,10.392226,green
1441.284873,56.728,8.078314,blue
3822.137084,65.554,9.119152,yellow
7446.298803,74.852,4.552198,green
12569.85177,50.728,1.639131,blue
9065.800825,72.39,190.010647,yellow
10680.79282,73.005,7.322858,green
1217.032994,52.295,14.326203,blue
430.0706916,49.58,8.390505,blue
1713.778686,59.723,14.131858,red
2042.09524,50.43,17.696293,blue
36319.23501,80.653,33.390141,yellow
706.016537,44.741,4.369038,blue
1704.063724,50.651,10.238807,blue
13171.63885,78.553,16.284741,yellow
4959.114854,72.961,1318.683096,red
7006.580419,72.889,44.22755,yellow
986.1478792,65.152,0.71096,blue
277.5518587,46.462,64.606759,blue
3632.557798,55.322,3.80061,blue
9645.06142,78.782,4.133884,yellow
1544.750112,48.328,18.013409,blue
14619.22272,75.748,4.493312,green
8948.102923,78.273,11.416987,yellow
22833.30851,76.486,10.228744,green
35278.41874,78.332,5.46812,green
2082.481567,54.791,0.496374,blue
6025.374752,72.235,9.319622,yellow
6873.262326,74.994,13.75568,yellow
5581.180998,71.338,80.264543,blue
5728.353514,71.878,6.939688,yellow
12154.08975,51.579,0.551201,blue
641.3695236,58.04,4.906585,blue
690.8055759,52.947,76.511887,blue
33207.0844,79.313,5.23846,green
30470.0167,80.657,61.083916,green
13206.48452,56.735,1.454867,blue
752.7497265,59.448,1.688359,blue
32170.37442,79.406,82.400996,green
1327.60891,60.022,22.873338,blue
27538.41188,79.483,10.70629,green
5186.050003,70.259,12.572928,yellow
942.6542111,56.007,9.947814,blue
579.231743,46.388,1.472041,blue
1201.637154,60.916,8.502814,yellow
3548.330846,70.198,7.483763,yellow
39724.97867,82.208,6.980412,red
18008.94444,73.338,9.956108,green
36180.78919,81.757,0.301931,green
2452.210407,64.698,1110.396331,red
3540.651564,70.65,223.547,red
11605.71449,70.964,69.45357,red
4471.061906,59.545,27.499638,red
40675.99635,78.885,4.109086,green
25523.2771,80.745,6.426679,red
28569.7197,80.546,58.147733,green
7320.880262,72.567,2.780132,yellow
31656.06806,82.603,127.467972,red
4519.461171,72.535,6.053193,red
1463.249282,54.11,35.610177,blue
1593.06548,67.297,23.301725,red
23348.13973,78.623,49.04479,red
47306.98978,77.588,2.505559,red
10461.05868,71.993,3.921278,red
1569.331442,42.592,2.012649,blue
414.5073415,45.678,3.193942,blue
12057.49928,73.952,6.036914,blue
1044.770126,59.443,19.167654,blue
759.3499101,48.303,13.327079,blue
12451.6558,74.241,24.821286,red
1042.581557,54.467,12.031795,blue
1803.151496,64.164,3.270065,blue
10956.99112,72.801,1.250882,blue
11977.57496,76.195,108.700891,yellow
3095.772271,66.803,2.874127,red
9253.896111,74.543,0.684736,green
3820.17523,71.164,33.757175,blue
823.6856205,42.082,19.951656,blue
944,62.069,47.76198,red
4811.060429,52.906,2.05508,blue
1091.359778,63.785,28.90179,red
36797.93332,79.762,16.570613,green
25185.00911,80.204,4.115771,black
2749.320965,72.899,5.675356,yellow
619.6768924,56.867,12.894865,blue
2013.977305,46.859,135.031164,blue
49357.19017,80.196,4.627926,green
22316.19287,75.64,3.204897,red
2605.94758,65.483,169.270617,red
9809.185636,75.537,3.242173,yellow
4172.838464,71.752,6.667147,yellow
7408.905561,71.421,28.674757,yellow
3190.481016,71.688,91.077287,red
15389.92468,75.563,38.518241,green
20509.64777,78.098,10.642836,green
19328.70901,78.746,3.942491,yellow
7670.122558,76.442,0.798094,blue
10808.47561,72.476,22.276056,green
863.0884639,46.242,8.860588,blue
1598.435089,65.528,0.199579,blue
21654.83194,72.777,27.601038,red
1712.472136,63.062,12.267493,blue
9786.534714,74.002,10.150265,green
862.5407561,42.568,6.144562,blue
47143.17964,79.972,4.553009,red
18678.31435,74.663,5.447502,green
25768.25759,77.926,2.009245,green
926.1410683,48.159,9.118773,blue
9269.657808,49.339,43.997828,blue
28821.0637,80.941,40.448191,green
3970.095407,72.396,20.378239,red
2602.394995,58.556,42.292929,blue
4513.480643,39.613,1.133066,blue
33859.74835,80.884,9.031088,green
37506.41907,81.701,7.554661,green
4184.548089,74.143,19.314747,red
28718.27684,78.4,23.174294,red
1107.482182,52.517,38.13964,blue
7458.396327,70.616,65.068149,red
882.9699438,58.42,5.701579,blue
18008.50924,69.819,1.056608,yellow
7092.923025,73.923,10.276158,blue
8458.276384,71.777,71.158647,green
1056.380121,51.542,29.170398,blue
33203.26128,79.425,60.776238,green
42951.65309,78.242,301.139947,yellow
10611.46299,76.384,3.447496,yellow
11415.80569,73.747,26.084662,yellow
2441.576404,74.249,85.262356,red
3025.349798,73.422,4.018332,red
2280.769906,62.698,22.211743,red
1271.211593,42.384,11.746035,blue
469.7092981,43.487,12.311143,blue
